date,averagePrice,totalBags,type,year
2015-03-01,1.16,171961.07,conventional,2015
2015-02-22,1.11,190762.55,conventional,2015
2015-02-15,1.25,179990.18,conventional,2015
2015-02-08,1.09,180932.96,conventional,2015
2015-02-01,1.06,164589.36,conventional,2015
2015-01-25,1.2,217350.64,conventional,2015
2015-01-18,1.23,173858.5,conventional,2015
2015-01-11,1.17,155406.52,conventional,2015
2015-01-04,1.08,141136.68,conventional,2015
2015-12-27,0.97,23561.1,conventional,2015
2015-12-20,1.03,21935.9,conventional,2015
2015-12-13,0.99,21868.27,conventional,2015
2015-12-06,0.71,43091.6,conventional,2015
2015-11-29,1.06,16057.99,conventional,2015
2015-11-22,1.09,17547.95,conventional,2015
2015-11-15,1.01,25635.41,conventional,2015
2015-11-08,1.11,12999.91,conventional,2015
2015-11-01,1.14,12362.73,conventional,2015
2015-10-25,1.11,13711.48,conventional,2015
2015-10-18,1.16,8921.26,conventional,2015
2015-10-11,0.94,13769.64,conventional,2015
2015-10-04,1.12,5968.42,conventional,2015
2015-09-27,0.99,7763.11,conventional,2015
2015-09-20,1.03,10893.8,conventional,2015
2015-09-13,1.08,7482.65,conventional,2015
2015-09-06,1.16,6936.04,conventional,2015
2015-08-30,1.19,5440.56,conventional,2015
2015-08-23,1.05,7420.09,conventional,2015
2015-08-16,1.12,6096.91,conventional,2015
2015-08-09,1.1,7582.25,conventional,2015
2015-08-02,1.07,6036.39,conventional,2015
2015-07-26,1.07,6511.85,conventional,2015
2015-07-19,1.09,7170.97,conventional,2015
2015-07-12,1.05,9571.92,conventional,2015
2015-07-05,1.15,6637.61,conventional,2015
2015-06-28,1.04,5621.07,conventional,2015
2015-06-21,1.06,7286.27,conventional,2015
2015-06-14,0.99,7800.04,conventional,2015
2015-06-07,1.12,5612.56,conventional,2015
2015-05-31,0.97,7866.15,conventional,2015
2015-05-24,1.03,7507.26,conventional,2015
2015-05-17,0.96,6354.01,conventional,2015
2015-05-10,1.06,9495.53,conventional,2015
2015-05-03,1.0,6354.81,conventional,2015
2015-04-26,0.96,7179.45,conventional,2015
2015-04-19,0.99,7960.22,conventional,2015
2015-04-12,1.19,5747.78,conventional,2015
2015-04-05,1.09,6513.78,conventional,2015
2015-03-29,0.98,4789.54,conventional,2015
2015-03-22,1.17,3311.77,conventional,2015
2015-03-15,1.0,4445.9,conventional,2015
2015-03-08,1.14,4860.43,conventional,2015
2015-03-01,1.06,7237.98,conventional,2015
2015-02-22,0.99,7467.27,conventional,2015
2015-02-15,1.14,5340.86,conventional,2015
2015-02-08,1.07,3047.17,conventional,2015
2015-02-01,0.91,6644.84,conventional,2015
2015-01-25,1.03,4530.04,conventional,2015
2015-01-18,1.08,3915.94,conventional,2015
2015-01-11,1.18,4923.75,conventional,2015
2015-01-04,1.01,7755.62,conventional,2015
2015-12-27,1.13,86012.86,conventional,2015
2015-12-20,1.07,88901.8,conventional,2015
2015-12-13,1.01,89722.96,conventional,2015
2015-12-06,1.02,75889.78,conventional,2015
2015-11-29,1.19,74125.62,conventional,2015
2015-11-22,1.07,78648.17,conventional,2015
2015-11-15,1.05,87352.15,conventional,2015
2015-11-08,1.04,93342.82,conventional,2015
2015-11-01,1.06,98507.92,conventional,2015
2015-10-25,1.02,99326.99,conventional,2015
2015-10-18,0.94,91049.58,conventional,2015
2015-10-11,1.14,101909.89,conventional,2015
2015-10-04,1.07,103038.91,conventional,2015
2015-09-27,1.07,84726.9,conventional,2015
2015-09-20,1.15,95171.55,conventional,2015
2015-09-13,1.03,89114.66,conventional,2015
2015-09-06,1.11,95172.85,conventional,2015
2015-08-30,1.13,83430.9,conventional,2015
2015-08-23,1.07,95826.5,conventional,2015
2015-08-16,1.15,96109.23,conventional,2015
2015-08-09,1.07,94518.79,conventional,2015
2015-08-02,1.17,97508.59,conventional,2015
2015-07-26,1.28,100694.94,conventional,2015
2015-07-19,1.18,109746.47,conventional,2015
2015-07-12,1.14,148182.59,conventional,2015
2015-07-05,1.27,148861.42,conventional,2015
2015-06-28,1.25,143455.74,conventional,2015
2015-06-21,1.24,126114.48,conventional,2015
2015-06-14,1.08,151442.1,conventional,2015
2015-06-07,1.25,137408.28,conventional,2015
2015-05-31,1.26,142818.64,conventional,2015
2015-05-24,1.14,138157.74,conventional,2015
2015-05-17,1.26,149526.12,conventional,2015
2015-05-10,1.14,143997.65,conventional,2015
2015-05-03,1.17,118714.26,conventional,2015
2015-04-26,1.28,109400.12,conventional,2015
2015-04-19,1.15,115562.72,conventional,2015
2015-04-12,1.26,110638.95,conventional,2015
2015-04-05,1.27,115635.81,conventional,2015
2015-03-29,1.19,110561.28,conventional,2015
2015-03-22,1.18,102664.18,conventional,2015
2015-03-15,1.25,102556.32,conventional,2015
2015-03-08,1.17,114386.82,conventional,2015
2015-03-01,1.11,97862.93,conventional,2015
2015-02-22,1.23,100715.97,conventional,2015
2015-02-15,1.2,114839.16,conventional,2015
2015-02-08,1.04,106216.72,conventional,2015
2015-02-01,1.22,110214.39,conventional,2015
2015-01-25,1.17,116472.16,conventional,2015
2015-01-18,1.23,109036.52,conventional,2015
2015-01-11,1.1,111524.61,conventional,2015
2015-01-04,1.02,87663.13,conventional,2015
2015-12-27,1.35,55236.68,conventional,2015
2015-12-20,1.37,51165.21,conventional,2015
2015-12-13,1.35,56202.44,conventional,2015
2015-12-06,1.23,48355.65,conventional,2015
2015-11-29,1.39,42662.25,conventional,2015
2015-11-22,1.4,49642.35,conventional,2015
2015-11-15,1.36,56335.34,conventional,2015
2015-11-08,1.3,60187.87,conventional,2015
2015-11-01,1.23,54298.62,conventional,2015
2015-10-25,1.36,61283.43,conventional,2015
2015-10-18,1.29,63787.47,conventional,2015
2015-10-11,1.3,56025.17,conventional,2015
2015-10-04,1.33,57425.67,conventional,2015
2015-09-27,1.31,28438.3,conventional,2015
2015-09-20,1.54,19258.95,conventional,2015
2015-09-13,1.59,22867.43,conventional,2015
2015-09-06,1.56,25106.09,conventional,2015
2015-08-30,1.38,20483.02,conventional,2015
2015-08-23,1.49,23840.42,conventional,2015
2015-08-16,1.5,22371.73,conventional,2015
2015-08-09,1.47,24051.92,conventional,2015
2015-08-02,1.47,31622.86,conventional,2015
2015-07-26,1.39,43788.54,conventional,2015
2015-07-19,1.36,70982.41,conventional,2015
2015-07-12,1.45,74222.68,conventional,2015
2015-07-05,1.47,75277.49,conventional,2015
2015-06-28,1.36,78811.96,conventional,2015
2015-06-21,1.5,54130.44,conventional,2015
2015-06-14,1.34,95473.84,conventional,2015
2015-06-07,1.38,71990.67,conventional,2015
2015-05-31,1.4,75473.15,conventional,2015
2015-05-24,1.43,65785.96,conventional,2015
2015-05-17,1.35,74392.69,conventional,2015
2015-05-10,1.33,95285.89,conventional,2015
2015-05-03,1.42,85477.33,conventional,2015
2015-04-26,1.41,86183.43,conventional,2015
2015-04-19,1.42,85576.8,conventional,2015
2015-04-12,1.42,71752.15,conventional,2015
2015-04-05,1.44,72056.8,conventional,2015
2015-03-29,1.39,70027.47,conventional,2015
2015-03-22,1.4,71344.15,conventional,2015
2015-03-15,1.47,54157.6,conventional,2015
2015-03-08,1.35,62576.63,conventional,2015
2015-03-01,1.43,69541.74,conventional,2015
2015-02-22,1.41,62312.01,conventional,2015
2015-02-15,1.44,55357.07,conventional,2015
2015-02-08,1.36,64513.81,conventional,2015
2015-02-01,1.33,86919.58,conventional,2015
2015-01-25,1.5,58649.74,conventional,2015
2015-01-18,1.52,43421.89,conventional,2015
2015-01-11,1.54,53514.26,conventional,2015
2015-01-04,1.4,57182.88,conventional,2015
2015-12-27,0.9,1212707.01,conventional,2015
2015-12-20,0.94,1209165.2,conventional,2015
2015-12-13,0.87,1592438.33,conventional,2015
2015-12-06,0.78,1510267.34,conventional,2015
2015-11-29,0.91,1081497.47,conventional,2015
2015-11-22,0.92,1069305.91,conventional,2015
2015-11-15,0.83,1152918.94,conventional,2015
2015-11-08,0.98,855636.58,conventional,2015
2015-11-01,0.95,651915.96,conventional,2015
2015-10-25,1.12,618031.72,conventional,2015
2015-10-18,1.07,646990.52,conventional,2015
2015-10-11,1.08,555041.88,conventional,2015
2015-10-04,1.02,472090.38,conventional,2015
2015-09-27,1.04,515245.79,conventional,2015
2015-09-20,1.14,552209.77,conventional,2015
2015-09-13,1.13,584419.64,conventional,2015
2015-09-06,1.09,629688.27,conventional,2015
2015-08-30,1.08,649475.65,conventional,2015
2015-08-23,1.18,545248.81,conventional,2015
2015-08-16,1.11,577651.8,conventional,2015
2015-08-09,1.1,580768.97,conventional,2015
2015-08-02,1.16,566776.08,conventional,2015
2015-07-26,1.13,598607.54,conventional,2015
2015-07-19,1.18,601233.56,conventional,2015
2015-07-12,1.13,622965.78,conventional,2015
2015-07-05,1.12,762371.42,conventional,2015
2015-06-28,1.1,654819.0,conventional,2015
2015-06-21,1.07,662032.34,conventional,2015
2015-06-14,0.97,683201.17,conventional,2015
2015-06-07,0.98,678868.68,conventional,2015
2015-05-31,0.98,580523.01,conventional,2015
2015-05-24,1.1,574119.93,conventional,2015
2015-05-17,1.08,547243.56,conventional,2015
2015-05-10,0.93,634790.89,conventional,2015
2015-05-03,0.88,631798.44,conventional,2015
2015-04-26,1.15,576599.58,conventional,2015
2015-04-19,1.05,598285.63,conventional,2015
2015-04-12,1.06,614443.51,conventional,2015
2015-04-05,1.12,601124.94,conventional,2015
2015-03-29,1.1,669440.18,conventional,2015
2015-03-22,1.06,713009.12,conventional,2015
2015-03-15,1.06,662527.26,conventional,2015
2015-03-08,0.96,671312.66,conventional,2015
2015-03-01,0.84,552070.01,conventional,2015
2015-02-22,0.96,635318.73,conventional,2015
2015-02-15,0.96,594411.66,conventional,2015
2015-02-08,0.91,612526.38,conventional,2015
2015-02-01,0.85,600149.24,conventional,2015
2015-01-25,1.06,570609.87,conventional,2015
2015-01-18,1.02,559990.93,conventional,2015
2015-01-11,0.92,546047.53,conventional,2015
2015-01-04,0.93,528451.74,conventional,2015
2015-12-27,0.96,37630.04,conventional,2015
2015-12-20,0.98,35054.76,conventional,2015
2015-12-13,0.95,39031.59,conventional,2015
2015-12-06,0.99,30439.26,conventional,2015
2015-11-29,0.95,30791.41,conventional,2015
2015-11-22,1.0,25723.09,conventional,2015
2015-11-15,1.01,23632.22,conventional,2015
2015-11-08,1.03,29723.04,conventional,2015
2015-11-01,1.11,37373.73,conventional,2015
2015-10-25,1.27,34587.41,conventional,2015
2015-10-18,1.26,34534.79,conventional,2015
2015-10-11,1.14,39795.83,conventional,2015
2015-10-04,1.22,38050.77,conventional,2015
2015-09-27,1.09,31620.63,conventional,2015
2015-09-20,1.2,47353.43,conventional,2015
2015-09-13,1.19,62868.31,conventional,2015
2015-09-06,1.01,66041.86,conventional,2015
2015-08-30,1.2,65683.65,conventional,2015
2015-08-23,1.15,78864.57,conventional,2015
2015-08-16,1.24,62985.56,conventional,2015
2015-08-09,1.21,61746.27,conventional,2015
2015-08-02,1.24,60699.91,conventional,2015
2015-07-26,1.23,64127.07,conventional,2015
2015-07-19,1.19,65605.47,conventional,2015
2015-07-12,1.18,67851.56,conventional,2015
2015-07-05,1.18,71243.15,conventional,2015
2015-06-28,1.17,69753.61,conventional,2015
2015-06-21,1.17,73048.34,conventional,2015
2015-06-14,1.15,69824.22,conventional,2015
2015-06-07,1.15,72650.56,conventional,2015
2015-05-31,1.19,61153.08,conventional,2015
2015-05-24,1.2,63676.95,conventional,2015
2015-05-17,1.21,59786.84,conventional,2015
2015-05-10,1.19,63906.65,conventional,2015
2015-05-03,1.0,64214.79,conventional,2015
2015-04-26,1.2,59902.38,conventional,2015
2015-04-19,1.18,64618.32,conventional,2015
2015-04-12,1.17,65183.51,conventional,2015
2015-04-05,1.19,58148.27,conventional,2015
2015-03-29,1.23,52860.94,conventional,2015
2015-03-22,1.19,59411.65,conventional,2015
2015-03-15,1.19,52470.09,conventional,2015
2015-03-08,1.25,53912.29,conventional,2015
2015-03-01,1.18,55725.59,conventional,2015
2015-02-22,1.08,46972.92,conventional,2015
2015-02-15,1.22,49548.44,conventional,2015
2015-02-08,1.17,51284.33,conventional,2015
2015-02-01,0.98,49070.43,conventional,2015
2015-01-25,1.18,54309.81,conventional,2015
2015-01-18,1.25,47055.08,conventional,2015
2015-01-11,1.26,49435.79,conventional,2015
2015-01-04,1.19,50797.56,conventional,2015
2015-12-27,0.93,94741.09,conventional,2015
2015-12-20,0.91,94063.9,conventional,2015
2015-12-13,1.07,82588.46,conventional,2015
2015-12-06,1.14,62910.83,conventional,2015
2015-11-29,1.11,62161.46,conventional,2015
2015-11-22,0.94,73751.75,conventional,2015
2015-11-15,1.17,74984.77,conventional,2015
2015-11-08,1.01,66166.46,conventional,2015
2015-11-01,1.0,68869.94,conventional,2015
2015-10-25,1.12,66124.18,conventional,2015
2015-10-18,1.15,63116.01,conventional,2015
2015-10-11,1.08,68648.48,conventional,2015
2015-10-04,1.18,69930.27,conventional,2015
2015-09-27,1.15,70795.02,conventional,2015
2015-09-20,1.19,74891.66,conventional,2015
2015-09-13,1.19,82914.08,conventional,2015
2015-09-06,1.11,86202.35,conventional,2015
2015-08-30,1.12,73918.94,conventional,2015
2015-08-23,1.2,80272.17,conventional,2015
2015-08-16,1.16,83807.06,conventional,2015
2015-08-09,1.25,81788.18,conventional,2015
2015-08-02,1.27,82175.8,conventional,2015
2015-07-26,1.12,88152.13,conventional,2015
2015-07-19,1.24,98743.44,conventional,2015
2015-07-12,1.26,94328.48,conventional,2015
2015-07-05,1.24,129052.84,conventional,2015
2015-06-28,1.21,129786.59,conventional,2015
2015-06-21,1.24,111021.71,conventional,2015
2015-06-14,1.21,119024.61,conventional,2015
2015-06-07,1.24,105212.4,conventional,2015
2015-05-31,1.26,101425.36,conventional,2015
2015-05-24,1.23,104263.68,conventional,2015
2015-05-17,1.23,85534.2,conventional,2015
2015-05-10,1.23,93316.19,conventional,2015
2015-05-03,1.04,93715.67,conventional,2015
2015-04-26,1.24,92705.9,conventional,2015
2015-04-19,1.24,92160.87,conventional,2015
2015-04-12,1.24,94153.9,conventional,2015
2015-04-05,1.27,91422.8,conventional,2015
2015-03-29,1.22,101458.91,conventional,2015
2015-03-22,1.21,90358.9,conventional,2015
2015-03-15,1.09,97254.41,conventional,2015
2015-03-08,1.18,109455.37,conventional,2015
2015-03-01,1.09,90420.46,conventional,2015
2015-02-22,1.18,94439.89,conventional,2015
2015-02-15,1.17,97651.22,conventional,2015
2015-02-08,1.13,82336.09,conventional,2015
2015-02-01,0.91,93077.9,conventional,2015
2015-01-25,1.22,85220.93,conventional,2015
2015-01-18,1.14,98865.72,conventional,2015
2015-01-11,1.15,79298.64,conventional,2015
2015-01-04,1.11,77539.48,conventional,2015
2015-12-27,0.87,50369.3,conventional,2015
2015-12-20,0.85,56245.76,conventional,2015
2015-12-13,0.79,75464.86,conventional,2015
2015-12-06,0.83,59144.0,conventional,2015
2015-11-29,0.88,38977.9,conventional,2015
2015-11-22,0.89,47140.21,conventional,2015
2015-11-15,0.88,56845.8,conventional,2015
2015-11-08,0.87,60246.26,conventional,2015
2015-11-01,0.93,71626.45,conventional,2015
2015-10-25,1.01,59603.9,conventional,2015
2015-10-18,0.98,43077.8,conventional,2015
2015-10-11,0.91,50536.17,conventional,2015
2015-10-04,0.93,64105.72,conventional,2015
2015-09-27,1.08,49128.68,conventional,2015
2015-09-20,1.05,47094.76,conventional,2015
2015-09-13,1.05,56180.0,conventional,2015
2015-09-06,1.02,66632.12,conventional,2015
2015-08-30,1.01,63318.92,conventional,2015
2015-08-23,1.05,58589.27,conventional,2015
2015-08-16,1.01,63557.7,conventional,2015
2015-08-09,1.08,56136.97,conventional,2015
2015-08-02,1.09,51052.19,conventional,2015
2015-07-26,1.03,68917.85,conventional,2015
2015-07-19,1.06,58337.87,conventional,2015
2015-07-12,1.03,61781.42,conventional,2015
2015-07-05,1.03,71706.32,conventional,2015
2015-06-28,1.01,72823.95,conventional,2015
2015-06-21,1.02,65000.04,conventional,2015
2015-06-14,1.05,66485.56,conventional,2015
2015-06-07,1.07,63389.74,conventional,2015
2015-05-31,1.06,63377.28,conventional,2015
2015-05-24,1.1,55604.51,conventional,2015
2015-05-17,1.04,59491.63,conventional,2015
2015-05-10,1.06,73034.51,conventional,2015
2015-05-03,1.08,57176.48,conventional,2015
2015-04-26,1.06,60583.96,conventional,2015
2015-04-19,1.02,60889.38,conventional,2015
2015-04-12,1.02,55624.64,conventional,2015
2015-04-05,1.06,51050.29,conventional,2015
2015-03-29,0.95,70724.27,conventional,2015
2015-03-22,0.98,48822.51,conventional,2015
2015-03-15,0.94,57836.43,conventional,2015
2015-03-08,0.87,64425.57,conventional,2015
2015-03-01,0.89,47259.72,conventional,2015
2015-02-22,0.93,41141.35,conventional,2015
2015-02-15,0.94,39617.86,conventional,2015
2015-02-08,0.93,37258.67,conventional,2015
2015-02-01,0.86,51829.32,conventional,2015
2015-01-25,0.93,46636.08,conventional,2015
2015-01-18,0.93,42403.04,conventional,2015
2015-01-11,0.92,43475.66,conventional,2015
2015-01-04,0.88,55083.44,conventional,2015
2015-12-27,0.99,23071.78,conventional,2015
2015-12-20,1.03,20266.48,conventional,2015
2015-12-13,1.03,20165.81,conventional,2015
2015-12-06,0.99,18819.11,conventional,2015
2015-11-29,1.03,17371.46,conventional,2015
2015-11-22,1.04,18380.41,conventional,2015
2015-11-15,0.99,23023.6,conventional,2015
2015-11-08,0.95,25669.5,conventional,2015
2015-11-01,0.99,21489.11,conventional,2015
2015-10-25,1.04,17089.46,conventional,2015
2015-10-18,0.98,23459.71,conventional,2015
2015-10-11,0.9,23892.68,conventional,2015
2015-10-04,0.93,19254.83,conventional,2015
2015-09-27,1.02,18440.24,conventional,2015
2015-09-20,1.0,21237.4,conventional,2015
2015-09-13,1.02,24698.19,conventional,2015
2015-09-06,1.04,21787.18,conventional,2015
2015-08-30,1.03,24775.19,conventional,2015
2015-08-23,1.08,20871.64,conventional,2015
2015-08-16,1.03,23949.07,conventional,2015
2015-08-09,1.0,29968.97,conventional,2015
2015-08-02,1.05,23215.97,conventional,2015
2015-07-26,1.02,28990.45,conventional,2015
2015-07-19,1.05,26449.59,conventional,2015
2015-07-12,1.04,25544.6,conventional,2015
2015-07-05,0.98,30288.91,conventional,2015
2015-06-28,0.94,35543.34,conventional,2015
2015-06-21,0.99,31938.32,conventional,2015
2015-06-14,1.01,34656.36,conventional,2015
2015-06-07,1.03,33480.24,conventional,2015
2015-05-31,1.1,27507.96,conventional,2015
2015-05-24,1.01,34792.89,conventional,2015
2015-05-17,1.0,21611.56,conventional,2015
2015-05-10,1.1,27215.37,conventional,2015
2015-05-03,0.99,27235.65,conventional,2015
2015-04-26,1.02,28635.3,conventional,2015
2015-04-19,1.0,25870.22,conventional,2015
2015-04-12,1.07,24861.81,conventional,2015
2015-04-05,1.09,18571.52,conventional,2015
2015-03-29,0.96,32728.88,conventional,2015
2015-03-22,0.94,16321.19,conventional,2015
2015-03-15,1.01,22629.45,conventional,2015
2015-03-08,0.95,36170.41,conventional,2015
2015-03-01,1.03,19375.08,conventional,2015
2015-02-22,1.09,21411.43,conventional,2015
2015-02-15,1.05,24561.91,conventional,2015
2015-02-08,0.96,20393.63,conventional,2015
2015-02-01,0.87,23945.98,conventional,2015
2015-01-25,1.08,23196.35,conventional,2015
2015-01-18,1.02,27417.51,conventional,2015
2015-01-11,0.97,18981.23,conventional,2015
2015-01-04,0.89,18869.56,conventional,2015
2015-12-27,0.8,164495.27,conventional,2015
2015-12-20,0.82,139567.69,conventional,2015
2015-12-13,0.79,122485.83,conventional,2015
2015-12-06,0.74,119463.87,conventional,2015
2015-11-29,0.8,110783.37,conventional,2015
2015-11-22,0.78,115460.44,conventional,2015
2015-11-15,0.71,124103.96,conventional,2015
2015-11-08,0.8,103376.75,conventional,2015
2015-11-01,0.78,105901.09,conventional,2015
2015-10-25,0.86,101822.75,conventional,2015
2015-10-18,0.83,94315.01,conventional,2015
2015-10-11,0.81,107867.59,conventional,2015
2015-10-04,0.82,122784.54,conventional,2015
2015-09-27,0.84,114293.5,conventional,2015
2015-09-20,0.77,112113.8,conventional,2015
2015-09-13,0.86,144444.25,conventional,2015
2015-09-06,0.84,129188.38,conventional,2015
2015-08-30,0.82,110266.58,conventional,2015
2015-08-23,0.85,111144.33,conventional,2015
2015-08-16,0.88,109684.37,conventional,2015
2015-08-09,0.85,109761.68,conventional,2015
2015-08-02,0.87,103103.0,conventional,2015
2015-07-26,0.8,116524.06,conventional,2015
2015-07-19,0.82,133329.08,conventional,2015
2015-07-12,0.82,107362.42,conventional,2015
2015-07-05,0.83,145175.58,conventional,2015
2015-06-28,0.77,133410.7,conventional,2015
2015-06-21,0.75,143730.96,conventional,2015
2015-06-14,0.65,134774.73,conventional,2015
2015-06-07,0.73,133958.89,conventional,2015
2015-05-31,0.68,112892.03,conventional,2015
2015-05-24,0.81,101993.85,conventional,2015
2015-05-17,0.73,96117.87,conventional,2015
2015-05-10,0.75,115964.95,conventional,2015
